Specimen #,Site,SiteID,Latitude,Longitude,Treatment,Date,Initials of Experimenter,Berry Mass,Plant Richness,Form Normal (Y/N),Notes
65989,Rising_River,site_25,46.801,-123.159,O,9/23/16,KB,3.3133,9,N,Denting throughout
12990,Rising_River,site_25,46.801,-123.159,O,9/28/16,KB,1.2591,9,N,Oblong and pointy at bottom
5960,Riversong_Farm,site_26,48.435,-122.394,B,8/3/16,EHB,5.8806,10,Y,None
80070,Riversong_Farm,site_26,48.435,-122.394,B,8/4/16,EHB,3.4089,10,N,Burn
6119,Riversong_Farm,site_26,48.435,-122.394,B,8/4/16,EHB,5.3246,10,N,Burn
55815,Riversong_Farm,site_26,48.435,-122.394,B,8/4/16,EHB,2.3896,10,N,Burn
78968,Riversong_Farm,site_26,48.435,-122.394,B,8/5/16,HH,6.1648,10,N,Pinched End of Fruit (and small)
55815,Riversong_Farm,site_26,48.435,-122.394,B,8/8/16,HH,2.7547,10,N,Burn
9280,Riversong_Farm,site_26,48.435,-122.394,B,8/12/16,HH,7.3386,10,N,Fruit Dented and Pinched
8412,Riversong_Farm,site_26,48.435,-122.394,B,10/4/16,EB,7.4243,10,Y,-
17944,Riversong_Farm,site_26,48.435,-122.394,B,10/4/16,EB,4.8535,10,N,Catface
94159,Riversong_Farm,site_26,48.435,-122.394,B,10/5/16,EB,9.1173,10,N,Catface
81753,Riversong_Farm,site_26,48.435,-122.394,B,10/6/16,EB,8.2024,10,Y,-
2376,Riversong_Farm,site_26,48.435,-122.394,B,10/9/16,EB,4.0517,10,Y,-
46631,Riversong_Farm,site_26,48.435,-122.394,O,8/2/16,EHB,11.6377,10,Y,None
57156,Riversong_Farm,site_26,48.435,-122.394,O,8/4/16,EHB,3.0014,10,N,Burn
57156,Riversong_Farm,site_26,48.435,-122.394,O,8/4/16,EHB,2.6396,10,N,Burn
25964,Riversong_Farm,site_26,48.435,-122.394,O,8/4/16,EHB,4.6546,10,N,Burn
69600,Riversong_Farm,site_26,48.435,-122.394,O,8/4/16,EHB,2.0579,10,N,Burn
46631,Riversong_Farm,site_26,48.435,-122.394,O,8/6/16,HH,4.6799,10,N,Burn
69600,Riversong_Farm,site_26,48.435,-122.394,O,8/6/16,HH,1.8078,10,N,Burn
58489,Riversong_Farm,site_26,48.435,-122.394,O,8/6/16,HH,3.01,10,N,Burn
11788,Riversong_Farm,site_26,48.435,-122.394,O,8/7/16,HH,4.9395,10,Y,None
11788,Riversong_Farm,site_26,48.435,-122.394,O,8/7/16,HH,5.6551,10,N,Burn
25964,Riversong_Farm,site_26,48.435,-122.394,O,8/13/16,HH,0.6213,10,N,Burn and pinched end of fruit
83865,Riversong_Farm,site_26,48.435,-122.394,O,10/1/16,EB,6.0189,10,Y,-
85079,Riversong_Farm,site_26,48.435,-122.394,O,10/5/16,EB,6.8539,10,Y,-
29005,Riversong_Farm,site_26,48.435,-122.394,O,10/6/16,EB,6.2127,10,Y,-
46801,Riversong_Farm,site_26,48.435,-122.394,O,10/13/16,EB,6.2241,10,N,Never ripened before becoming soft
51984,Riversong_Farm,site_26,48.435,-122.394,O,10/13/16,EB,2.2956,10,N,Large dent
59342,Sol_to_Seed,site_29,47.611,-121.937,B,8/15/16,EHB,7.2467,9,Y,None
89213,Sol_to_Seed,site_29,47.611,-121.937,B,8/15/16,EHB,2.2819,9,N,Burn
55442,Sol_to_Seed,site_29,47.611,-121.937,B,8/16/16,EHB,6.5667,9,Y,None
20456,Sol_to_Seed,site_29,47.611,-121.937,B,8/16/16,EHB,6.0753,9,N,Dent
50825,Sol_to_Seed,site_29,47.611,-121.937,B,8/16/16,EHB,0.5617,9,N,Catface/Dessication
80377,Sol_to_Seed,site_29,47.611,-121.937,B,8/17/16,EHB,4.3395,9,N,Dents (minor)
71800,Sol_to_Seed,site_29,47.611,-121.937,B,9/16/16,EHB,6.72,9,N,Nipple/pinched end
18445,Sol_to_Seed,site_29,47.611,-121.937,B,9/16/16,EHB,4.6207,9,Y,None
57523,Sol_to_Seed,site_29,47.611,-121.937,B,9/17/16,EHB,2.3417,9,N,Catfaced
71574,Sol_to_Seed,site_29,47.611,-121.937,B,9/20/16,EHB,2.3949,9,N,Catfaced
2584,Sol_to_Seed,site_29,47.611,-121.937,O,8/15/16,EHB,4.6302,9,N,Dent
3969,Sol_to_Seed,site_29,47.611,-121.937,O,8/16/16,EHB,5.368,9,N,Pinched End of Fruit
51383,Sol_to_Seed,site_29,47.611,-121.937,O,8/18/16,EHB,4.879,9,N,Slight terminal pinch
46875,Sol_to_Seed,site_29,47.611,-121.937,O,8/19/16,EHB,1.4509,9,N,Nippled End
28968,Sol_to_Seed,site_29,47.611,-121.937,O,8/19/16,EHB,0.2917,9,N,Catfaced (small)
46875,Sol_to_Seed,site_29,47.611,-121.937,O,8/21/16,EHB,0.829,9,N,Nippled End
51383,Sol_to_Seed,site_29,47.611,-121.937,O,8/22/16,EHB,2.5319,9,N,Pinched tip
74031,Sol_to_Seed,site_29,47.611,-121.937,O,9/16/16,EHB,3.6061,9,Y,None
11647,Sol_to_Seed,site_29,47.611,-121.937,O,9/21/16,EHB,6.7803,9,N,Catfaced
21376,Sol_to_Seed,site_29,47.611,-121.937,O,9/21/16,EHB,5.6803,9,N,Side catface
70625,Steel_Wheel,site_30,47.583,-121.916,B,8/13/16,HH,2.0518,10,N,Burn
70625,Steel_Wheel,site_30,47.583,-121.916,B,8/13/16,HH,2.0632,10,N,Burn
47719,Steel_Wheel,site_30,47.583,-121.916,B,8/14/16,EHB,1.3762,10,N,Burn/dessication
47719,Steel_Wheel,site_30,47.583,-121.916,B,8/14/16,EHB,1.682,10,Y,None
44625,Steel_Wheel,site_30,47.583,-121.916,B,8/14/16,EHB,8.7287,10,Y,None
34461,Steel_Wheel,site_30,47.583,-121.916,B,8/14/16,EHB,2.2993,10,N,Burn/dessication
92328,Steel_Wheel,site_30,47.583,-121.916,B,8/14/16,EHB,0.9552,10,N,Burn
45771,Steel_Wheel,site_30,47.583,-121.916,B,10/21/16,EB,10.593,10,Y,-
69940,Steel_Wheel,site_30,47.583,-121.916,B,10/21/16,EB,11.1559,10,N,Dents
69940,Steel_Wheel,site_30,47.583,-121.916,B,10/24/16,EB,9.4628,10,N,Catface
95928,Steel_Wheel,site_30,47.583,-121.916,O,8/14/16,EHB,3.5344,10,N,Pinched End of Fruit
30950,Steel_Wheel,site_30,47.583,-121.916,O,8/14/16,EHB,2.9188,10,Y,None
30950,Steel_Wheel,site_30,47.583,-121.916,O,8/14/16,EHB,4.2961,10,Y,None
30950,Steel_Wheel,site_30,47.583,-121.916,O,8/14/16,EHB,12.6322,10,N,Nippled End
38811,Steel_Wheel,site_30,47.583,-121.916,O,8/14/16,EHB,4.9938,10,Y,None
45990,Steel_Wheel,site_30,47.583,-121.916,O,8/14/16,EHB,5.5911,10,Y,None
82709,Steel_Wheel,site_30,47.583,-121.916,O,8/14/16,EHB,2.7997,10,Y,Dessicated
82709,Steel_Wheel,site_30,47.583,-121.916,O,8/14/16,EHB,1.458,10,N,Burn
82709,Steel_Wheel,site_30,47.583,-121.916,O,8/14/16,EHB,1.1721,10,N,Burn
45990,Steel_Wheel,site_30,47.583,-121.916,O,8/14/16,EHB,3.6376,10,Y,None
65245,Steel_Wheel,site_30,47.583,-121.916,O,10/15/16,EB,14.4872,10,Y,-
85222,Steel_Wheel,site_30,47.583,-121.916,O,10/24/16,EB,5.309,10,N,Small dents
38234,The_Evergreen_State_College,site_31,47.065,-122.984,B,8/9/16,HH,2.283,#N/A,N,Burn
43158,The_Evergreen_State_College,site_31,47.065,-122.984,B,8/11/16,HH,3.0076,#N/A,N,Burn
13950,The_Evergreen_State_College,site_31,47.065,-122.984,B,8/14/16,EHB,5.1152,#N/A,Y,None
99997,The_Evergreen_State_College,site_31,47.065,-122.984,B,8/14/16,EHB,7.0878,#N/A,N,Pinched End of Fruit
73989,The_Evergreen_State_College,site_31,47.065,-122.984,B,8/14/16,EHB,8.8626,#N/A,N,Nippled End
80953,The_Evergreen_State_College,site_31,47.065,-122.984,B,8/14/16,EHB,4.1957,#N/A,Y,None
80953,The_Evergreen_State_College,site_31,47.065,-122.984,B,8/14/16,EHB,4.0742,#N/A,N,Fruit Dented
14167,The_Evergreen_State_College,site_31,47.065,-122.984,B,10/14/16,EB,10.8611,#N/A,Y,-
98847,The_Evergreen_State_College,site_31,47.065,-122.984,B,10/15/16,EB,12.1905,#N/A,Y,-
62465,The_Evergreen_State_College,site_31,47.065,-122.984,B,10/24/16,EB,5.3511,#N/A,N,Side catface
42714,The_Evergreen_State_College,site_31,47.065,-122.984,O,8/13/16,HH,5.0645,#N/A,N,Burn
96454,The_Evergreen_State_College,site_31,47.065,-122.984,O,8/14/16,EHB,9.4796,#N/A,Y,None
23662,The_Evergreen_State_College,site_31,47.065,-122.984,O,8/14/16,EHB,2.3945,#N/A,N,Pinched End of Fruit
64677,The_Evergreen_State_College,site_31,47.065,-122.984,O,8/14/16,EHB,4.058,#N/A,N,Burn
70136,The_Evergreen_State_College,site_31,47.065,-122.984,O,8/14/16,EHB,9.1936,#N/A,Y,None
30130,The_Evergreen_State_College,site_31,47.065,-122.984,O,8/14/16,EHB,9.6056,#N/A,Y,None
68104,The_Evergreen_State_College,site_31,47.065,-122.984,O,10/14/16,EB,9.5112,#N/A,N,Dessicated before ripened
69991,Wendell_Berry,site_34,47.049,-122.872,B,8/14/16,EHB,5.237,#N/A,Y,None
69991,Wendell_Berry,site_34,47.049,-122.872,B,8/14/16,EHB,4.1147,#N/A,Y,None
54980,Wendell_Berry,site_34,47.049,-122.872,B,8/14/16,EHB,5.1882,#N/A,Y,None
51078,Wendell_Berry,site_34,47.049,-122.872,B,8/14/16,EHB,4.0502,#N/A,N,Dent
15070,Wendell_Berry,site_34,47.049,-122.872,B,8/14/16,EHB,1.5845,#N/A,N,Burn
73414,Wendell_Berry,site_34,47.049,-122.872,B,8/14/16,EHB,12.2843,#N/A,Y,None
69991,Wendell_Berry,site_34,47.049,-122.872,B,8/16/16,EHB,2.9628,#N/A,N,Dessicated
74427,Wendell_Berry,site_34,47.049,-122.872,B,10/6/16,EB,5.2375,#N/A,N,Catface
30233,Wendell_Berry,site_34,47.049,-122.872,B,10/6/16,EB,6.2304,#N/A,N,Small catface
84195,Wendell_Berry,site_34,47.049,-122.872,B,10/6/16,EB,7.5054,#N/A,Y,-
30233,Wendell_Berry,site_34,47.049,-122.872,B,10/21/16,EB,0.3827,#N/A,N,One receptacle fertilized
4100,Wendell_Berry,site_34,47.049,-122.872,O,8/14/16,EHB,4.7294,#N/A,Y,None
29842,Wendell_Berry,site_34,47.049,-122.872,O,8/14/16,EHB,3.0662,#N/A,Y,None
29842,Wendell_Berry,site_34,47.049,-122.872,O,8/14/16,EHB,6.0396,#N/A,Y,None
29842,Wendell_Berry,site_34,47.049,-122.872,O,8/14/16,EHB,7.2486,#N/A,Y,None
29842,Wendell_Berry,site_34,47.049,-122.872,O,8/14/16,EHB,4.8412,#N/A,Y,None
29842,Wendell_Berry,site_34,47.049,-122.872,O,8/14/16,EHB,5.1659,#N/A,Y,None
16296,Wendell_Berry,site_34,47.049,-122.872,O,8/14/16,EHB,3.243,#N/A,Y,None
25769,Wendell_Berry,site_34,47.049,-122.872,O,8/14/16,EHB,4.9555,#N/A,N,Burn
25769,Wendell_Berry,site_34,47.049,-122.872,O,8/14/16,EHB,5.821,#N/A,Y,None
87879,Wendell_Berry,site_34,47.049,-122.872,O,8/14/16,EHB,5.0914,#N/A,N,Nippled End
87879,Wendell_Berry,site_34,47.049,-122.872,O,8/14/16,EHB,4.841,#N/A,N,Burn
78214,Wendell_Berry,site_34,47.049,-122.872,O,8/14/16,EHB,4.1433,#N/A,N,Burn
78214,Wendell_Berry,site_34,47.049,-122.872,O,8/15/16,EHB,2.8327,#N/A,N,Dessicated
55457,Wendell_Berry,site_34,47.049,-122.872,O,9/29/16,KB,7.0367,#N/A,N,Small kink otherwise great
41226,Wendell_Berry,site_34,47.049,-122.872,O,10/1/16,EB,1.2333,#N/A,N,Burn
81112,Wendell_Berry,site_34,47.049,-122.872,O,10/2/16,EB,7.7907,#N/A,N,Linear dent in side
40895,Wendell_Berry,site_34,47.049,-122.872,O,10/10/16,EB,7.1928,#N/A,N,Small dents
88644,Wendell_Berry,site_34,47.049,-122.872,O,10/13/16,EB,2.5943,#N/A,N,Catface
40895,Wendell_Berry,site_34,47.049,-122.872,O,10/14/16,EB,1.9552,#N/A,N,Catface
2547,Wobbly_Cart,site_36,46.807,-123.11,B,8/2/16,EHB,6.1108,9,Y,None
21963,Wobbly_Cart,site_36,46.807,-123.11,B,8/4/16,EHB,4.8439,9,N,Fruit Dented
21906,Wobbly_Cart,site_36,46.807,-123.11,B,8/4/16,EHB,10.4526,9,N,Fruit Dented
16907,Wobbly_Cart,site_36,46.807,-123.11,B,8/4/16,EHB,1.7864,9,N,Pinched End of Fruit (and small)
85708,Wobbly_Cart,site_36,46.807,-123.11,B,8/5/16,HH,11.914,9,Y,None
2547,Wobbly_Cart,site_36,46.807,-123.11,B,8/12/16,HH,4.8895,9,N,Burn
39229,Wobbly_Cart,site_36,46.807,-123.11,B,8/13/16,HH,5.8191,9,N,Burn
21906,Wobbly_Cart,site_36,46.807,-123.11,B,8/14/16,EHB,8.8633,9,Y,None
12297,Wobbly_Cart,site_36,46.807,-123.11,B,9/17/16,EHB,8.3194,9,Y,None
68328,Wobbly_Cart,site_36,46.807,-123.11,B,9/27/16,KB,0.4901,9,N,Small and catfaced
15884,Wobbly_Cart,site_36,46.807,-123.11,O,8/6/16,HH,5.0444,9,N,Burn
2676,Wobbly_Cart,site_36,46.807,-123.11,O,8/7/16,HH,5.5842,9,N,Fruit Dented
2676,Wobbly_Cart,site_36,46.807,-123.11,O,8/7/16,HH,4.3331,9,Y,None
31645,Wobbly_Cart,site_36,46.807,-123.11,O,8/7/16,HH,6.4387,9,N,Fruit Dented
31645,Wobbly_Cart,site_36,46.807,-123.11,O,8/11/16,HH,8.818,9,Y,None
85212,Wobbly_Cart,site_36,46.807,-123.11,O,8/12/16,HH,8.7053,9,Y,None
69291,Wobbly_Cart,site_36,46.807,-123.11,O,8/14/16,EHB,10.0036,9,Y,None
15884,Wobbly_Cart,site_36,46.807,-123.11,O,8/14/16,EHB,2.2412,9,N,Burn
55652,Wobbly_Cart,site_36,46.807,-123.11,O,8/14/16,EHB,7.4583,9,Y,None
21018,Wobbly_Cart,site_36,46.807,-123.11,O,9/17/16,EHB,8.4435,9,N,Dents
26543,Wobbly_Cart,site_36,46.807,-123.11,O,9/18/16,EHB,4.9483,9,N,Small dents
1256,Wobbly_Cart,site_36,46.807,-123.11,O,9/20/16,EHB,3.9594,9,N,Dents
