Specimen #,Site,SiteID,Latitude,Longitude,Treatment,Date,Initials of Experimenter,Berry Mass,Plant Richness,Form Normal (Y/N),Notes
14339,Camp_Korey,site_6,47.678,-121.949,O,9/18/16,EHB,3.2696,10,N,Catfaced
72828,Greenhouse,,,,H,8/2/16,EHB,10.3758,#N/A,N,Pinched End of Fruit
29071,Greenhouse,,,,H,8/3/16,EHB,6.9303,#N/A,N,Pinched Top of Fruit
29071,Greenhouse,,,,H,8/3/16,EHB,5.2668,#N/A,N,Pinched End of Fruit
39606,Greenhouse,,,,H,8/3/16,EHB,5.2353,#N/A,N,Pinched End of Fruit
72828,Greenhouse,,,,H,8/3/16,EHB,8.2267,#N/A,Y,None
1880,Greenhouse,,,,H,8/4/16,EHB,4.4823,#N/A,Y,None
24957,Greenhouse,,,,H,8/5/16,HH,1.2335,#N/A,N,Burn (and small)
61807,Greenhouse,,,,H,8/6/16,HH,2.0313,#N/A,N,Burn
48681,Greenhouse,,,,H,8/6/16,HH,3.588,#N/A,N,Burn and pinched end of fruit
1880,Greenhouse,,,,H,8/7/16,HH,7.7031,#N/A,N,Burn and dented
44078,Greenhouse,,,,H,8/9/16,HH,7.8362,#N/A,N,Burn and dented
1880,Greenhouse,,,,H,8/11/16,HH,4.9728,#N/A,Y,None
83088,Greenhouse,,,,H,8/12/16,HH,2.3965,#N/A,N,Fruit Dented and Pinched
83088,Greenhouse,,,,H,8/12/16,HH,3.824,#N/A,N,Burn
19706,Greenhouse,,,,H,8/12/16,HH,2.753,#N/A,N,Burn
19706,Greenhouse,,,,H,8/12/16,HH,3.1721,#N/A,N,Burn
19706,Greenhouse,,,,H,8/12/16,HH,5.1998,#N/A,N,Burn and pinched end of fruit
61807,Greenhouse,,,,H,8/13/16,HH,6.6901,#N/A,N,Burn
24957,Greenhouse,,,,H,8/14/16,EHB,2.8863,#N/A,Y,None
65620,Greenhouse,,,,H,8/14/16,EHB,11.0017,#N/A,Y,None
73679,Greenhouse,,,,H,8/14/16,EHB,6.0985,#N/A,N,Nippled End
36924,Greenhouse,,,,H,8/14/16,EHB,6.0789,#N/A,N,Pinched End of Fruit
42251,Greenhouse,,,,H,8/14/16,EHB,5.2506,#N/A,N,Burn
11893,Greenhouse,,,,H,8/14/16,EHB,6.5026,#N/A,N,Pinched End of Fruit
4068,Greenhouse,,,,H,8/14/16,EHB,8.999,#N/A,N,Slight nippling
98272,Greenhouse,,,,H,8/14/16,EHB,8.2058,#N/A,N,Slight nippling
19775,Greenhouse,,,,H,8/14/16,EHB,4.471,#N/A,N,Dents
4192,Greenhouse,,,,H,8/14/16,EHB,4.871,#N/A,Y,Dessicated
4192,Greenhouse,,,,H,8/14/16,EHB,1.6237,#N/A,N,Burn
93585,Greenhouse,,,,H,8/14/16,EHB,1.5533,#N/A,N,Dessicated
96825,Greenhouse,,,,H,8/14/16,EHB,6.6776,#N/A,N,Pinched End of Fruit
8011,Greenhouse,,,,H,8/14/16,EHB,8.6304,#N/A,Y,None
91899,Greenhouse,,,,H,8/14/16,EHB,5.651,#N/A,N,Dents
91899,Greenhouse,,,,H,8/14/16,EHB,8.5277,#N/A,N,Nippled End
50002,Greenhouse,,,,H,8/14/16,EHB,2.1613,#N/A,N,Burn
39829,Greenhouse,,,,H,8/14/16,EHB,5.7926,#N/A,Y,None
13853,Greenhouse,,,,H,8/14/16,EHB,5.5662,#N/A,Y,None
13853,Greenhouse,,,,H,8/14/16,EHB,6.2543,#N/A,Y,None
93088,Greenhouse,,,,H,8/14/16,EHB,4.2551,#N/A,Y,None
93088,Greenhouse,,,,H,8/14/16,EHB,3.7324,#N/A,Y,None
10247,Greenhouse,,,,H,8/14/16,EHB,5.3277,#N/A,Y,None
83252,Greenhouse,,,,H,8/14/16,EHB,5.811,#N/A,N,Burn
4446,Greenhouse,,,,H,8/15/16,EHB,4.5512,#N/A,Y,None
50002,Greenhouse,,,,H,8/15/16,EHB,5.6896,#N/A,N,Dessicated
78775,Greenhouse,,,,H,8/15/16,EHB,1.2178,#N/A,N,Burn
78775,Greenhouse,,,,H,8/15/16,EHB,5.9108,#N/A,N,Burn/Pinch/Dessication
6689,Greenhouse,,,,H,8/15/16,EHB,6.6484,#N/A,N,Dent
22561,Greenhouse,,,,H,8/15/16,EHB,4.1561,#N/A,Y,None
22561,Greenhouse,,,,H,8/15/16,EHB,6.54,#N/A,Y,None
18165,Greenhouse,,,,H,8/15/16,EHB,7.877,#N/A,Y,None
80566,Greenhouse,,,,H,8/16/16,EHB,3.419,#N/A,Y,Burn
66911,Greenhouse,,,,H,8/16/16,EHB,5.6634,#N/A,N,Dent/Bump
70428,Greenhouse,,,,H,8/19/16,EHB,3.2529,#N/A,Y,None
22561,Greenhouse,,,,H,8/19/16,EHB,6.3334,#N/A,Y,None
52069,Greenhouse,,,,H,8/21/16,EHB,3.8688,#N/A,N,Nipple/Dent near tip
66911,Greenhouse,,,,H,8/21/16,EHB,4.3727,#N/A,N,Catfaced
67881,Greenhouse,,,,H,8/21/16,EHB,5.8889,#N/A,N,Pinch/Dent near tip
20095,Greenhouse,,,,H,8/22/16,EHB,4.2171,#N/A,N,Cleft tip
51184,Greenhouse,,,,H,8/23/16,EHB,3.9991,#N/A,N,Catfaced
22832,Greenhouse,,,,H,8/23/16,EHB,7.1498,#N/A,N,Slight dent
65475,Greenhouse,,,,H,8/23/16,EHB,7.0324,#N/A,N,Nipple
20095,Greenhouse,,,,H,8/24/16,EHB,3.1169,#N/A,N,Catfaced
29481,Greenhouse,,,,H,9/17/16,EHB,2.4289,#N/A,N,Small pinch/catface
92749,Greenhouse,,,,H,9/17/16,EHB,4.5184,#N/A,N,Slight nippling
49442,Greenhouse,,,,H,9/17/16,EHB,3.6172,#N/A,N,Slight nippling
5019,Greenhouse,,,,H,9/17/16,EHB,1.3037,#N/A,N,Catface
2756,Greenhouse,,,,H,9/17/16,EHB,3.188,#N/A,N,Small catface
77206,Greenhouse,,,,H,9/18/16,EHB,4.5634,#N/A,N,Catfaced
9085,Greenhouse,,,,H,9/20/16,EHB,0.8822,#N/A,N,Catfaced
2756,Greenhouse,,,,H,9/22/16,EHB,2.5224,#N/A,N,Side catface
54495,Greenhouse,,,,H,9/22/16,EHB,6.3905,#N/A,N,Catface major
35995,Greenhouse,,,,H,9/28/16,KB,8.244,#N/A,N,Catfaced
9446,Greenhouse,,,,H,9/28/16,KB,1.4137,#N/A,N,Small and catfaced
67051,Greenhouse,,,,H,10/1/16,EB,0.1856,#N/A,N,Small dried up (should have been picked earlier)
3463,Greenhouse,,,,H,10/2/16,EB,6.2102,#N/A,N,Pinched tip
55743,Greenhouse,,,,H,10/2/16,EB,6.7139,#N/A,N,Slight catface
67455,Greenhouse,,,,H,10/2/16,EB,4.8001,#N/A,N,Catface
77823,Greenhouse,,,,H,10/2/16,EB,6.1022,#N/A,N,Large dents
43089,Greenhouse,,,,H,10/4/16,EB,7.1079,#N/A,N,Catface
41214,Greenhouse,,,,H,10/5/16,EB,1.6059,#N/A,N,Catface
12277,Greenhouse,,,,H,10/6/16,EB,7.9432,#N/A,N,Small catface
12734,Greenhouse,,,,H,10/9/16,EB,0.9593,#N/A,N,Catface side
45627,Greenhouse,,,,H,10/13/16,EB,2.7601,#N/A,N,Large dent
15130,Greenhouse,,,,H,10/14/16,EB,12.7183,#N/A,N,Catface
61187,Greenhouse,,,,H,10/14/16,EB,0.2367,#N/A,N,One receptacle ripened
47332,Greenhouse,,,,H,10/14/16,EB,3.0332,#N/A,N,Catface and dessicated before ripened
29933,Greenhouse,,,,H,10/17/16,EB,9.5168,#N/A,N,Small catface
29933,Greenhouse,,,,H,10/17/16,EB,8.6737,#N/A,N,Small dents
29933,Greenhouse,,,,H,10/17/16,EB,10.9216,#N/A,N,Small catface
15130,Greenhouse,,,,H,10/18/16,EB,15.8404,#N/A,N,Very small catface
70447,Greenhouse,,,,H,10/21/16,EB,6.4166,#N/A,N,Catface
21452,GRuB,site_7,47.063,-122.926,B,8/14/16,EHB,1.0107,10,N,Burn
2015,GRuB,site_7,47.063,-122.926,B,8/14/16,EHB,3.7072,10,Y,None
27717,GRuB,site_7,47.063,-122.926,B,8/14/16,EHB,0.8725,10,N,Burn
65294,GRuB,site_7,47.063,-122.926,B,8/14/16,EHB,3.3296,10,N,Pinched End of Fruit
16233,GRuB,site_7,47.063,-122.926,B,8/14/16,EHB,6.5111,10,Y,None
2015,GRuB,site_7,47.063,-122.926,B,8/15/16,EHB,3.6292,10,N,Burn
5790,GRuB,site_7,47.063,-122.926,B,10/5/16,EB,10.1767,10,N,Catface
99979,GRuB,site_7,47.063,-122.926,B,10/6/16,EB,9.0798,10,N,Dents
99979,GRuB,site_7,47.063,-122.926,B,10/6/16,EB,3.0156,10,Y,-
43235,GRuB,site_7,47.063,-122.926,B,10/6/16,EB,9.3381,10,N,Nipple
70591,GRuB,site_7,47.063,-122.926,B,10/9/16,EB,1.114,10,N,Split
63807,GRuB,site_7,47.063,-122.926,B,10/9/16,EB,10.4825,10,N,Nipple catface
12568,GRuB,site_7,47.063,-122.926,O,8/14/16,EHB,4.7046,10,N,Pinched End of Fruit
44762,GRuB,site_7,47.063,-122.926,O,8/14/16,EHB,6.5856,10,Y,None
44762,GRuB,site_7,47.063,-122.926,O,8/14/16,EHB,6.6192,10,Y,None
50251,GRuB,site_7,47.063,-122.926,O,8/14/16,EHB,5.7914,10,Y,None
80502,GRuB,site_7,47.063,-122.926,O,8/14/16,EHB,8.8987,10,Y,None
80502,GRuB,site_7,47.063,-122.926,O,8/14/16,EHB,8.6381,10,Y,None
68937,GRuB,site_7,47.063,-122.926,O,8/14/16,EHB,1.8266,10,N,Burn
9575,GRuB,site_7,47.063,-122.926,O,8/14/16,EHB,3.808,10,N,Burn
70491,GRuB,site_7,47.063,-122.926,O,10/1/16,EB,13.967,10,Y,-
2051,GRuB,site_7,47.063,-122.926,O,10/2/16,EB,7.9941,10,Y,-
13123,GRuB,site_7,47.063,-122.926,O,10/3/16,EB,6.3551,10,N,Small dent
91464,GRuB,site_7,47.063,-122.926,O,10/6/16,EB,10.4952,10,N,Dents
27947,GRuB,site_7,47.063,-122.926,O,10/6/16,EB,5.9763,10,N,Catface
2051,GRuB,site_7,47.063,-122.926,O,10/9/16,EB,5.3561,10,N,Dent
55404,Harmony_Fields,site_8,48.543,-122.413,B,8/3/16,EHB,8.7557,11,N,Pinched End of Fruit
51301,Harmony_Fields,site_8,48.543,-122.413,B,8/4/16,EHB,4.8395,11,N,Burn
89892,Harmony_Fields,site_8,48.543,-122.413,B,8/4/16,EHB,8.8921,11,N,Slightly Pinched End of Fruit
17194,Harmony_Fields,site_8,48.543,-122.413,B,8/7/16,HH,7.1716,11,N,Burn
68000,Harmony_Fields,site_8,48.543,-122.413,B,8/10/16,HH,10.5813,11,N,Burn
68000,Harmony_Fields,site_8,48.543,-122.413,B,8/10/16,HH,9.3651,11,N,Fruit Dented
89613,Harmony_Fields,site_8,48.543,-122.413,B,10/1/16,EB,7.6098,11,Y,-
15909,Harmony_Fields,site_8,48.543,-122.413,B,10/2/16,EB,6.6662,11,N,Linear dent in side
15909,Harmony_Fields,site_8,48.543,-122.413,B,10/2/16,EB,8.0842,11,N,Linear dent in side
49215,Harmony_Fields,site_8,48.543,-122.413,B,10/3/16,EB,6.4107,11,N,Small dent
89613,Harmony_Fields,site_8,48.543,-122.413,B,10/13/16,EB,5.8052,11,N,Never ripened before becoming soft
85792,Harmony_Fields,site_8,48.543,-122.413,O,8/2/16,EHB,7.4567,11,Y,None
83861,Harmony_Fields,site_8,48.543,-122.413,O,8/3/16,EHB,13.7843,11,Y,None
27295,Harmony_Fields,site_8,48.543,-122.413,O,8/3/16,EHB,10.1988,11,N,Burn
93774,Harmony_Fields,site_8,48.543,-122.413,O,8/4/16,EHB,3.1759,11,N,Burn
27295,Harmony_Fields,site_8,48.543,-122.413,O,8/7/16,HH,10.6739,11,Y,None
27295,Harmony_Fields,site_8,48.543,-122.413,O,8/7/16,HH,3.0022,11,N,Burn and dented
31871,Harmony_Fields,site_8,48.543,-122.413,O,8/7/16,HH,5.0561,11,N,Fruit Dented
8695,Harmony_Fields,site_8,48.543,-122.413,O,8/10/16,HH,2.3609,11,N,Burn
8695,Harmony_Fields,site_8,48.543,-122.413,O,8/10/16,HH,5.8478,11,N,Burn
63820,Harmony_Fields,site_8,48.543,-122.413,O,10/2/16,EB,7.2959,11,N,Small dents
47406,Harmony_Fields,site_8,48.543,-122.413,O,10/5/16,EB,8.7198,11,Y,-
55371,Harmony_Fields,site_8,48.543,-122.413,O,10/7/16,EB,7.1534,11,Y,-
94575,Harmony_Fields,site_8,48.543,-122.413,O,10/13/16,EB,7.7295,11,N,Never ripened before becoming soft
2269,Maa_nyei_lai_ndeic,site_13,47.562,-122.303,B,8/13/16,HH,10.4993,#N/A,N,Burn
45668,Maa_nyei_lai_ndeic,site_13,47.562,-122.303,B,8/14/16,EHB,3.7337,#N/A,N,Burn
60924,Maa_nyei_lai_ndeic,site_13,47.562,-122.303,B,8/14/16,EHB,7.3922,#N/A,Y,None
86239,Maa_nyei_lai_ndeic,site_13,47.562,-122.303,B,8/14/16,EHB,3.2367,#N/A,N,Burn
31447,Maa_nyei_lai_ndeic,site_13,47.562,-122.303,B,9/27/16,KB,9.3444,#N/A,Y,Uniform plump shape
46553,Maa_nyei_lai_ndeic,site_13,47.562,-122.303,B,9/28/16,KB,5.4113,#N/A,N,Sourfaced with denting
31447,Maa_nyei_lai_ndeic,site_13,47.562,-122.303,B,9/28/16,KB,5.398,#N/A,N,Minor denting (2 of 2)
74075,Maa_nyei_lai_ndeic,site_13,47.562,-122.303,B,10/7/16,EB,2.1467,#N/A,N,Catface
4149,Maa_nyei_lai_ndeic,site_13,47.562,-122.303,O,8/4/16,EHB,3.5846,#N/A,N,Burn
31632,Maa_nyei_lai_ndeic,site_13,47.562,-122.303,O,8/7/16,HH,2.369,#N/A,N,Burn
12543,Maa_nyei_lai_ndeic,site_13,47.562,-122.303,O,8/10/16,HH,1.5938,#N/A,N,Burn
12543,Maa_nyei_lai_ndeic,site_13,47.562,-122.303,O,8/12/16,HH,4.3324,#N/A,N,Burn
41179,Maa_nyei_lai_ndeic,site_13,47.562,-122.303,O,8/13/16,HH,3.7287,#N/A,N,Burn
64781,Maa_nyei_lai_ndeic,site_13,47.562,-122.303,O,8/14/16,EHB,5.8719,#N/A,Y,None
81892,Maa_nyei_lai_ndeic,site_13,47.562,-122.303,O,8/14/16,EHB,3.3957,#N/A,N,Burn
52213,Maa_nyei_lai_ndeic,site_13,47.562,-122.303,O,9/28/16,KB,2.1334,#N/A,N,Catfaced with dents
73127,Maa_nyei_lai_ndeic,site_13,47.562,-122.303,O,9/28/16,KB,5.6033,#N/A,N,Minor denting
4153,Maa_nyei_lai_ndeic,site_13,47.562,-122.303,O,10/1/16,EB,2.3395,#N/A,N,Catface
35056,New_Holly,site_18,47.543,-122.287,B,8/13/16,HH,3.0427,13,N,Burn
60192,New_Holly,site_18,47.543,-122.287,B,8/14/16,EHB,1.4141,13,N,Burn
66057,New_Holly,site_18,47.543,-122.287,B,10/1/16,EB,5.3333,13,N,Small dent
14306,New_Holly,site_18,47.543,-122.287,B,10/4/16,EB,4.4939,13,N,Small catface
24224,New_Holly,site_18,47.543,-122.287,O,8/14/16,EHB,5.3596,13,N,Burn
33844,New_Holly,site_18,47.543,-122.287,O,8/14/16,EHB,5.7604,13,Y,None
4370,New_Holly,site_18,47.543,-122.287,O,8/14/16,EHB,1.561,13,N,Burn
44383,New_Holly,site_18,47.543,-122.287,O,9/29/16,KB,2.3937,13,N,Catfaced
82207,Present_Tense,site_23,47.671,-121.976,B,8/14/16,EHB,1.92,7,N,Burn
7482,Present_Tense,site_23,47.671,-121.976,B,8/14/16,EHB,4.1478,7,N,Burn
82207,Present_Tense,site_23,47.671,-121.976,B,8/14/16,EHB,5.7633,7,N,Pinched/Nippled End of Fruit
48197,Present_Tense,site_23,47.671,-121.976,B,8/14/16,EHB,9.4867,7,N,Dents (minor)
14755,Present_Tense,site_23,47.671,-121.976,B,8/14/16,EHB,1.3393,7,N,Burn/dessication
18620,Present_Tense,site_23,47.671,-121.976,B,8/14/16,EHB,8.6718,7,Y,None
47569,Present_Tense,site_23,47.671,-121.976,B,8/14/16,EHB,5.5499,7,Y,None
45576,Present_Tense,site_23,47.671,-121.976,B,10/24/16,EB,7.8538,7,Y,-
95616,Present_Tense,site_23,47.671,-121.976,O,8/10/16,HH,2.8557,7,N,Burn
67605,Present_Tense,site_23,47.671,-121.976,O,8/14/16,EHB,2.0444,7,N,Catfacing
93929,Present_Tense,site_23,47.671,-121.976,O,8/14/16,EHB,2.9367,7,Y,None
34930,Present_Tense,site_23,47.671,-121.976,O,8/14/16,EHB,2.9496,7,N,Burn
29001,Present_Tense,site_23,47.671,-121.976,O,8/14/16,EHB,2.1613,7,N,Burn
56712,Present_Tense,site_23,47.671,-121.976,O,8/14/16,EHB,9.6856,7,Y,None
29001,Present_Tense,site_23,47.671,-121.976,O,8/14/16,EHB,2.2082,7,Y,None
29001,Present_Tense,site_23,47.671,-121.976,O,8/15/16,EHB,7.9688,7,N,Burn/dessication
1658,Present_Tense,site_23,47.671,-121.976,O,10/14/16,EB,16.8011,7,Y,-
4346,Present_Tense,site_23,47.671,-121.976,O,10/15/16,EB,7.4063,7,Y,-
41925,Present_Tense,site_23,47.671,-121.976,O,10/15/16,EB,14.5348,7,Y,-
84407,Rainier_Beach_Urban_Farm_and_Wetland,site_24,47.522,-122.259,B,8/21/16,EHB,5.1599,#N/A,N,Dent (minor)
66233,Rainier_Beach_Urban_Farm_and_Wetland,site_24,47.522,-122.259,B,8/22/16,EHB,4.6607,#N/A,Y,None
24509,Rainier_Beach_Urban_Farm_and_Wetland,site_24,47.522,-122.259,B,8/24/16,EHB,3.7025,#N/A,N,Nipple
5680,Rainier_Beach_Urban_Farm_and_Wetland,site_24,47.522,-122.259,B,8/26/16,EHB,2.2226,#N/A,N,Catfaced
18700,Rainier_Beach_Urban_Farm_and_Wetland,site_24,47.522,-122.259,B,10/1/16,EB,5.291,#N/A,N,Catface
8341,Rainier_Beach_Urban_Farm_and_Wetland,site_24,47.522,-122.259,B,10/1/16,EB,4.9765,#N/A,N,Dents major
34329,Rainier_Beach_Urban_Farm_and_Wetland,site_24,47.522,-122.259,B,10/3/16,EB,1.3608,#N/A,N,"Catface, pinched tip"
43334,Rainier_Beach_Urban_Farm_and_Wetland,site_24,47.522,-122.259,O,8/22/16,EHB,12.4591,#N/A,Y,None
15372,Rainier_Beach_Urban_Farm_and_Wetland,site_24,47.522,-122.259,O,8/22/16,EHB,3.1887,#N/A,Y,None
60829,Rainier_Beach_Urban_Farm_and_Wetland,site_24,47.522,-122.259,O,8/23/16,EHB,9.0609,#N/A,N,Slight nippling
17906,Rainier_Beach_Urban_Farm_and_Wetland,site_24,47.522,-122.259,O,8/28/16,EHB,0.6738,#N/A,N,Burn tip
68546,Rainier_Beach_Urban_Farm_and_Wetland,site_24,47.522,-122.259,O,9/29/16,KB,5.0823,#N/A,N,Sour faced with dents
6362,Rainier_Beach_Urban_Farm_and_Wetland,site_24,47.522,-122.259,O,10/1/16,EB,1.1075,#N/A,N,Small dent
86669,Rising_River,site_25,46.801,-123.159,B,8/6/16,HH,7.3082,9,N,Fruit Dented and burn
666,Rising_River,site_25,46.801,-123.159,B,8/7/16,HH,4.273,9,N,Fruit Dented and Pinched
62528,Rising_River,site_25,46.801,-123.159,B,8/10/16,HH,10.8268,9,N,Fruit Dented
38448,Rising_River,site_25,46.801,-123.159,B,8/11/16,HH,8.2297,9,N,Fruit Dented
65322,Rising_River,site_25,46.801,-123.159,B,8/13/16,HH,15.1096,9,Y,None
62566,Rising_River,site_25,46.801,-123.159,B,9/21/16,EHB,5.0366,9,N,Small dents
14211,Rising_River,site_25,46.801,-123.159,B,9/23/16,KB,5.1208,9,N,Dents (minor)
74122,Rising_River,site_25,46.801,-123.159,B,9/26/16,KB,2.057,9,N,Denting throughout
