Specimen #,Location,Treatment,Date,Initials of Experimenter,Berry Mass,Plant Richness,Form Normal (Y/N),Notes,,,,,,
47829,Rising River,O,8/12/16,HH,11.9647,9,Y,None,,,,,,
41179,Maa nyei lai ndeic,O,8/13/16,HH,3.7287,#N/A,N,Burn,,,,,,
57997,Caliope,O,8/13/16,HH,12.946,#N/A,N,Fruit Dented,,,,,,
42714,The Evergreen State College,O,8/13/16,HH,5.0645,#N/A,N,Burn,,,,,,
59269,Caliope,O,8/13/16,HH,3.0047,#N/A,N,Burn,,,,,,
59269,Caliope,O,8/13/16,HH,3.3542,#N/A,N,Burn,,,,,,
25964,Riversong Farm,O,8/13/16,HH,0.6213,10,N,Burn and pinched end of fruit,,,,,,
35289,Rising River,O,8/13/16,HH,6.0031,9,N,Burn,,,,,,
35289,Rising River,O,8/13/16,HH,5.4647,9,N,Burn,,,,,,
42123,Rising River,O,8/13/16,HH,6.9719,9,N,Burn,,,,,,
42123,Rising River,O,8/13/16,HH,8.5721,9,N,Burn,,,,,,
69291,Wobbly Cart,O,8/14/16,EHB,10.0036,9,Y,None,,,,,,
15884,Wobbly Cart,O,8/14/16,EHB,2.2412,9,N,Burn,,,,,,
96454,The Evergreen State College,O,8/14/16,EHB,9.4796,#N/A,Y,None,,,,,,
57997,Caliope,O,8/14/16,EHB,7.996,#N/A,Y,None,,,,,,
23662,The Evergreen State College,O,8/14/16,EHB,2.3945,#N/A,N,Pinched End of Fruit,,,,,,
64677,The Evergreen State College,O,8/14/16,EHB,4.058,#N/A,N,Burn,,,,,,
73579,Caliope,O,8/14/16,EHB,6.0667,#N/A,N,Slight pinch near end,,,,,,
71564,Caliope,O,8/14/16,EHB,5.1364,#N/A,Y,None,,,,,,
24865,Caliope,O,8/14/16,EHB,10.003,#N/A,Y,None,,,,,,
55652,Wobbly Cart,O,8/14/16,EHB,7.4583,9,Y,None,,,,,,
24865,Caliope,O,8/14/16,EHB,4.5793,#N/A,Y,None,,,,,,
70136,The Evergreen State College,O,8/14/16,EHB,9.1936,#N/A,Y,None,,,,,,
30130,The Evergreen State College,O,8/14/16,EHB,9.6056,#N/A,Y,None,,,,,,
78359,Caliope,O,8/14/16,EHB,7.9086,#N/A,N,Fruit Dented and Nipple at End,,,,,,
67605,Present Tense,O,8/14/16,EHB,2.0444,7,N,Catfacing,,,,,,
64781,Maa nyei lai ndeic,O,8/14/16,EHB,5.8719,#N/A,Y,None,,,,,,
81892,Maa nyei lai ndeic,O,8/14/16,EHB,3.3957,#N/A,N,Burn,,,,,,
24224,New Holly,O,8/14/16,EHB,5.3596,13,N,Burn,,,,,,
33844,New Holly,O,8/14/16,EHB,5.7604,13,Y,None,,,,,,
93929,Present Tense,O,8/14/16,EHB,2.9367,7,Y,None,,,,,,
4370,New Holly,O,8/14/16,EHB,1.561,13,N,Burn,,,,,,
95928,Steel Wheel,O,8/14/16,EHB,3.5344,10,N,Pinched End of Fruit,,,,,,
12568,GRuB,O,8/14/16,EHB,4.7046,10,N,Pinched End of Fruit,,,,,,
4100,Wendell Berry/ Urban Futures Farm,O,8/14/16,EHB,4.7294,#N/A,Y,None,,,,,,
29842,Wendell Berry/ Urban Futures Farm,O,8/14/16,EHB,3.0662,#N/A,Y,None,,,,,,
29842,Wendell Berry/ Urban Futures Farm,O,8/14/16,EHB,6.0396,#N/A,Y,None,,,,,,
29842,Wendell Berry/ Urban Futures Farm,O,8/14/16,EHB,7.2486,#N/A,Y,None,,,,,,
29842,Wendell Berry/ Urban Futures Farm,O,8/14/16,EHB,4.8412,#N/A,Y,None,,,,,,
29842,Wendell Berry/ Urban Futures Farm,O,8/14/16,EHB,5.1659,#N/A,Y,None,,,,,,
44762,GRuB,O,8/14/16,EHB,6.5856,10,Y,None,,,,,,
44762,GRuB,O,8/14/16,EHB,6.6192,10,Y,None,,,,,,
50251,GRuB,O,8/14/16,EHB,5.7914,10,Y,None,,,,,,
34930,Present Tense,O,8/14/16,EHB,2.9496,7,N,Burn,,,,,,
30950,Steel Wheel,O,8/14/16,EHB,2.9188,10,Y,None,,,,,,
30950,Steel Wheel,O,8/14/16,EHB,4.2961,10,Y,None,,,,,,
30950,Steel Wheel,O,8/14/16,EHB,12.6322,10,N,Nippled End,,,,,,
38811,Steel Wheel,O,8/14/16,EHB,4.9938,10,Y,None,,,,,,
29001,Present Tense,O,8/14/16,EHB,2.1613,7,N,Burn,,,,,,
56712,Present Tense,O,8/14/16,EHB,9.6856,7,Y,None,,,,,,
29001,Present Tense,O,8/14/16,EHB,2.2082,7,Y,None,,,,,,
45990,Steel Wheel,O,8/14/16,EHB,5.5911,10,Y,None,,,,,,
16296,Wendell Berry/ Urban Futures Farm,O,8/14/16,EHB,3.243,#N/A,Y,None,,,,,,
80502,GRuB,O,8/14/16,EHB,8.8987,10,Y,None,,,,,,
80502,GRuB,O,8/14/16,EHB,8.6381,10,Y,None,,,,,,
25769,Wendell Berry/ Urban Futures Farm,O,8/14/16,EHB,4.9555,#N/A,N,Burn,,,,,,
25769,Wendell Berry/ Urban Futures Farm,O,8/14/16,EHB,5.821,#N/A,Y,None,,,,,,
87879,Wendell Berry/ Urban Futures Farm,O,8/14/16,EHB,5.0914,#N/A,N,Nippled End,,,,,,
87879,Wendell Berry/ Urban Futures Farm,O,8/14/16,EHB,4.841,#N/A,N,Burn,,,,,,
68937,GRuB,O,8/14/16,EHB,1.8266,10,N,Burn,,,,,,
9575,GRuB,O,8/14/16,EHB,3.808,10,N,Burn,,,,,,
82709,Steel Wheel,O,8/14/16,EHB,2.7997,10,Y,Dessicated,,,,,,
82709,Steel Wheel,O,8/14/16,EHB,1.458,10,N,Burn,,,,,,
78214,Wendell Berry/ Urban Futures Farm,O,8/14/16,EHB,4.1433,#N/A,N,Burn,,,,,,
82709,Steel Wheel,O,8/14/16,EHB,1.1721,10,N,Burn,,,,,,
45990,Steel Wheel,O,8/14/16,EHB,3.6376,10,Y,None,,,,,,
78214,Wendell Berry/ Urban Futures Farm,O,8/15/16,EHB,2.8327,#N/A,N,Dessicated,,,,,,
29001,Present Tense,O,8/15/16,EHB,7.9688,7,N,Burn/dessication,,,,,,
2584,Sol to Seed,O,8/15/16,EHB,4.6302,9,N,Dent,,,,,,
56680,Camp Korey,O,8/16/16,EHB,5.3248,10,Y,None,,,,,,
88975,Camp Korey,O,8/16/16,EHB,4.1316,10,Y,Burn,,,,,,
3969,Sol to Seed,O,8/16/16,EHB,5.368,9,N,Pinched End of Fruit,,,,,,
51383,Sol to Seed,O,8/18/16,EHB,4.879,9,N,Slight terminal pinch,,,,,,
63924,Camp Korey,O,8/18/16,EHB,5.7221,10,N,Slight terminal nipple,,,,,,
74794,Camp Korey,O,8/18/16,EHB,4.5101,10,N,Slight terminal pinch,,,,,,
9561,Camp Korey,O,8/18/16,EHB,3.2258,10,N,Many lateral dents,,,,,,
9561,Camp Korey,O,8/18/16,EHB,4.7266,10,N,Many lateral dents,,,,,,
43984,Camp Korey,O,8/18/16,EHB,5.4258,10,Y,None,,,,,,
46875,Sol to Seed,O,8/19/16,EHB,1.4509,9,N,Nippled End,,,,,,
28968,Sol to Seed,O,8/19/16,EHB,0.2917,9,N,Catfaced (small),,,,,,
68508,Beacon Food Forest,O,8/21/16,EHB,4.6106,19,N,Dent (minor),,,,,,
89147,Beacon Food Forest,O,8/21/16,EHB,2.4463,19,N,Catfaced,,,,,,
46875,Sol to Seed,O,8/21/16,EHB,0.829,9,N,Nippled End,,,,,,
43334,Rainier Beach Urban Farm and Wetland,O,8/22/16,EHB,12.4591,#N/A,Y,None,,,,,,
15372,Rainier Beach Urban Farm and Wetland,O,8/22/16,EHB,3.1887,#N/A,Y,None,,,,,,
89147,Beacon Food Forest,O,8/22/16,EHB,4.5206,19,N,Catfaced,,,,,,
22686,Beacon Food Forest,O,8/22/16,EHB,6.0265,19,Y,None,,,,,,
51383,Sol to Seed,O,8/22/16,EHB,2.5319,9,N,Pinched tip,,,,,,
21253,Beacon Food Forest,O,8/23/16,EHB,5.3888,19,Y,None,,,,,,
52541,Beacon Food Forest,O,8/23/16,EHB,9.1434,19,Y,None,,,,,,
60829,Rainier Beach Urban Farm and Wetland,O,8/23/16,EHB,9.0609,#N/A,N,Slight nippling,,,,,,
44109,Beacon Food Forest,O,8/24/16,EHB,4.902,19,Y,None,,,,,,
17906,Rainier Beach Urban Farm and Wetland,O,8/28/16,EHB,0.6738,#N/A,N,Burn tip,,,,,,
90514,Camp Korey,O,9/16/16,EHB,5.0162,10,Y,None,,,,,,
14339,Camp Korey,O,9/16/16,EHB,4.5638,10,N,Dents,,,,,,
74031,Sol to Seed,O,9/16/16,EHB,3.6061,9,Y,None,,,,,,
74650,Camp Korey,O,9/17/16,EHB,6.7743,10,N,Small dents,,,,,,
21018,Wobbly Cart,O,9/17/16,EHB,8.4435,9,N,Dents,,,,,,
87932,Rising River,O,9/17/16,EHB,9.0942,9,Y,None,,,,,,
26543,Wobbly Cart,O,9/18/16,EHB,4.9483,9,N,Small dents,,,,,,
14339,Camp Korey,O,9/18/16,EHB,3.2696,10,N,Catfaced,,,,,,
1256,Wobbly Cart,O,9/20/16,EHB,3.9594,9,N,Dents,,,,,,
11647,Sol to Seed,O,9/21/16,EHB,6.7803,9,N,Catfaced,,,,,,
21376,Sol to Seed,O,9/21/16,EHB,5.6803,9,N,Side catface,,,,,,
65989,Rising River,O,9/23/16,KB,3.3133,9,N,Denting throughout,,,,,,
52213,Maa nyei lai ndeic,O,9/28/16,KB,2.1334,#N/A,N,Catfaced with dents,,,,,,
12990,Rising River,O,9/28/16,KB,1.2591,9,N,Oblong and pointy at bottom,,,,,,
73127,Maa nyei lai ndeic,O,9/28/16,KB,5.6033,#N/A,N,Minor denting,,,,,,
44383,New Holly,O,9/29/16,KB,2.3937,13,N,Catfaced,,,,,,
68546,Rainier Beach Urban Farm and Wetland,O,9/29/16,KB,5.0823,#N/A,N,Sour faced with dents,,,,,,
55457,Wendell Berry/ Urban Futures Farm,O,9/29/16,KB,7.0367,#N/A,N,Small kink otherwise great,,,,,,
3530,Beacon Food Forest,O,9/29/16,KB,2.245,19,N,Eggplant shaped,,,,,,
4153,Maa nyei lai ndeic,O,10/1/16,EB,2.3395,#N/A,N,Catface,,,,,,
41226,Wendell Berry/ Urban Futures Farm,O,10/1/16,EB,1.2333,#N/A,N,Burn,,,,,,
70491,GRuB,O,10/1/16,EB,13.967,10,Y,-,,,,,,
6362,Rainier Beach Urban Farm and Wetland,O,10/1/16,EB,1.1075,#N/A,N,Small dent,,,,,,
83865,Riversong Farm,O,10/1/16,EB,6.0189,10,Y,-,,,,,,
63820,Harmony Fields,O,10/2/16,EB,7.2959,11,N,Small dents,,,,,,
81112,Wendell Berry/ Urban Futures Farm,O,10/2/16,EB,7.7907,#N/A,N,Linear dent in side,,,,,,
2051,GRuB,O,10/2/16,EB,7.9941,10,Y,-,,,,,,
13123,GRuB,O,10/3/16,EB,6.3551,10,N,Small dent,,,,,,
85079,Riversong Farm,O,10/5/16,EB,6.8539,10,Y,-,,,,,,
47406,Harmony Fields,O,10/5/16,EB,8.7198,11,Y,-,,,,,,
91464,GRuB,O,10/6/16,EB,10.4952,10,N,Dents,,,,,,
27947,GRuB,O,10/6/16,EB,5.9763,10,N,Catface,,,,,,
29005,Riversong Farm,O,10/6/16,EB,6.2127,10,Y,-,,,,,,
55371,Harmony Fields,O,10/7/16,EB,7.1534,11,Y,-,,,,,,
2051,GRuB,O,10/9/16,EB,5.3561,10,N,Dent,,,,,,
40895,Wendell Berry/ Urban Futures Farm,O,10/10/16,EB,7.1928,#N/A,N,Small dents,,,,,,
88644,Wendell Berry/ Urban Futures Farm,O,10/13/16,EB,2.5943,#N/A,N,Catface,,,,,,
46801,Riversong Farm,O,10/13/16,EB,6.2241,10,N,Never ripened before becoming soft,,,,,,
94575,Harmony Fields,O,10/13/16,EB,7.7295,11,N,Never ripened before becoming soft,,,,,,
51984,Riversong Farm,O,10/13/16,EB,2.2956,10,N,Large dent,,,,,,
1658,Present Tense,O,10/14/16,EB,16.8011,7,Y,-,,,,,,
68104,The Evergreen State College,O,10/14/16,EB,9.5112,#N/A,N,Dessicated before ripened,,,,,,
40895,Wendell Berry/ Urban Futures Farm,O,10/14/16,EB,1.9552,#N/A,N,Catface,,,,,,
65245,Steel Wheel,O,10/15/16,EB,14.4872,10,Y,-,,,,,,
4346,Present Tense,O,10/15/16,EB,7.4063,7,Y,-,,,,,,
41925,Present Tense,O,10/15/16,EB,14.5348,7,Y,-,,,,,,
98055,Caliope,O,10/15/16,EB,15.0406,#N/A,Y,-,,,,,,
85222,Steel Wheel,O,10/24/16,EB,5.309,10,N,Small dents,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
